Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-08-15,110.413,111.154,109.453,110.413,595100,0.0,0.0
2022-08-16,111.154,112.474,110.356,111.942,613000,0.0,0.0
2022-08-17,110.337,111.353,108.798,108.988,926700,0.0,0.0
2022-08-18,109.767,111.619,109.33,111.068,818400,0.0,0.0
2022-08-19,110.213,110.223,107.886,108.94,635600,0.0,0.0
2022-08-22,106.613,106.974,105.073,105.463,802400,0.0,0.0
2022-08-23,106.109,110.878,105.368,110.204,1660800,0.0,0.0
2022-08-24,109.966,111.097,109.14,110.574,793800,0.0,0.0
2022-08-25,111.543,112.721,110.774,112.693,782900,0.0,0.0
2022-08-26,113.177,113.358,108.047,108.199,881200,0.0,0.0
2022-08-29,107.097,110.223,106.033,109.263,1285700,0.0,0.0
2022-08-30,109.985,110.204,106.527,107.192,869400,0.0,0.0
2022-08-31,107.306,107.325,105.311,105.32,681700,0.0,0.0
2022-09-01,104.123,104.408,101.777,103.278,813700,0.0,0.0
2022-09-02,105.748,106.318,100.96,101.539,918100,0.0,0.0
2022-09-06,102.812,103.582,100.665,101.017,1035600,0.0,0.0
2022-09-07,100.665,104.883,100.285,104.722,1111300,0.0,0.0
2022-09-08,103.544,106.907,102.746,106.727,839200,0.0,0.0
2022-09-09,108.275,109.9,107.743,109.529,721900,0.0,0.0
2022-09-12,110.745,112.978,110.432,111.125,905300,0.0,0.0
2022-09-13,105.311,107.582,103.344,103.829,1132600,0.0,0.0
2022-09-14,103.249,103.363,100.228,102.594,1029400,0.0,0.0
2022-09-15,102.47,104.598,101.406,101.843,920400,0.0,0.0
2022-09-16,99.601,101.824,95.108,97.312,4229700,0.0,0.0
2022-09-19,95.887,99.411,95.801,98.632,1018100,0.0,0.0
2022-09-20,96.761,97.179,93.512,94.424,1670000,0.0,0.0
2022-09-21,95.317,95.754,92.41,92.438,887400,0.0,0.0
